date,district,rain_mean,rain_max,rain_min,ante_15d,Flood occurrences
1998-09-05,KAPCHORWA,1.3244465888673391,4.751761436462402,0.0458757951855659,78.91757513206922,False
1998-09-06,KAPCHORWA,4.138403210952757,11.652887344360352,0.0594624653458595,80.41107158045024,False
1998-09-07,KAPCHORWA,7.370900436692617,13.57715129852295,0.8576166033744812,68.2036059872276,False
1998-09-08,KAPCHORWA,7.634748371261907,15.18620777130127,1.273064136505127,70.18108395373528,False
1998-09-09,KAPCHORWA,13.84513580901363,28.601417541503903,2.624586343765259,77.99824103840913,False
1998-09-10,KAPCHORWA,12.694094672504995,21.192365646362305,3.139890432357788,83.33485888509159,False
1998-09-11,KAPCHORWA,11.885764349329852,19.539873123168945,1.9414305686950684,80.57455712442126,False
1998-09-12,KAPCHORWA,7.033833581806406,26.92987060546875,0.0984930992126464,80.37547846502429,False
1998-09-13,KAPCHORWA,7.850245060981728,23.006343841552734,2.5820648670196533,85.15142720143777,False
1998-09-14,KAPCHORWA,1.505858983291198,7.000984191894531,0.0,85.58682912426417,False
1998-09-15,KAPCHORWA,11.048759905359317,23.015979766845703,5.554964542388916,93.37466477683977,False
1998-09-16,KAPCHORWA,9.993294881611329,29.169845581054688,0.0,101.64115139820005,False
1998-09-17,KAPCHORWA,5.0366551784207765,21.73335838317871,0.0,103.82399020165369,False
1998-09-18,KAPCHORWA,24.822099125239948,84.59933471679688,0.0,128.00745073654275,False
1998-09-19,KAPCHORWA,6.753045913018154,22.62911033630371,0.0,132.93728606835194,False
1998-09-20,KAPCHORWA,0.264183450773914,4.1880292892456055,0.0,131.8770229302585,False
1998-09-21,KAPCHORWA,8.716911518622863,17.833881378173828,0.9122007489204408,136.45553123792862,False
1998-09-22,KAPCHORWA,28.630802204338018,44.65976333618164,15.86521816253662,157.71543300557403,False
1998-09-23,KAPCHORWA,3.1163313276260096,6.904922962188721,0.2221341580152511,153.19701596193815,False
1998-09-24,KAPCHORWA,8.83278650557414,15.67670440673828,2.244875907897949,148.18466665849866,False
1998-09-25,KAPCHORWA,19.14189144136407,32.063053131103516,3.340345621109009,154.63246342735772,False
1998-09-26,KAPCHORWA,6.851739414431288,10.50310230255127,1.993091106414795,149.59843849245917,False
1998-09-27,KAPCHORWA,10.349236407682724,19.35912322998047,1.1398234367370603,152.91384131833547,False
1998-09-28,KAPCHORWA,2.0321402971077687,3.9992237091064458,0.4927250146865845,147.0957365544615,False
1998-09-29,KAPCHORWA,2.482185641704134,3.5426008701324463,0.6337249875068665,148.07206321287447,False
1998-09-30,KAPCHORWA,12.280119726631543,18.85453414916992,4.387396812438965,149.30342303414668,False
1998-10-01,KAPCHORWA,5.4782366110600424,9.3878755569458,2.588996410369873,144.78836476359538,False
1998-10-02,KAPCHORWA,6.950179148233602,10.13753890991211,2.868533134460449,146.70188873340823,False
1998-10-03,KAPCHORWA,8.165054102673013,12.799921989440918,3.790364027023315,130.0448437108413,False
